key,en,zh-TW
questionnaires.responseTypes.phone,Phone,電話
questionnaires.responseTypes.multipleChoice,Multiple choice,多項選擇
questionnaires.flowModes.start,Start questionnaire,開始問卷
questionnaires.flowModes.end,End questionnaire,結束問卷
questionnaires.flowModes.deleteApplicant,Delete applicant,刪除申請人
questionnaires.dialogDescriptions.create,Name the questionnaire before adding questions.,在新增問題之前為問卷命名。
questionnaires.dialogDescriptions.rename,Update the questionnaire name shown in lists and flows.,更新清單和流程中顯示的問卷名稱。
questionnaires.dialogDescriptions.flowStep,Choose how this flow step interacts with a questionnaire.,選擇此流程步驟如何與問卷互動。
questionnaires.status.inProgress,In progress,進行中
questionnaires.status.completed,Completed,已完成
questionnaires.status.cancelled,Cancelled,已取消
questionnaires.status.failed,Failed,失敗
questionnaires.status.timeout,Timeout,超時
facebookCommentAutomation.title,Facebook Comment Automation,Facebook 留言自動化
facebookCommentAutomation.description,Automate Facebook comments for your contacts.,自動處理聯絡人在 Facebook 貼文下的留言。
facebookCommentAutomation.create,Create Automation,建立自動化
facebookCommentAutomation.replies,Replies,回覆
facebookCommentAutomation.activated,Automation activated,自動化已啟用
facebookCommentAutomation.deactivated,Automation deactivated,自動化已停用
facebookCommentAutomation.trackCommentsOn,Track comments on,追蹤留言的對象
facebookCommentAutomation.trackCommentsOnDescription,"Apply this automation to all posts on your Page, or narrow it to specific posts you select.",可套用到粉絲專頁上的所有貼文，或縮小範圍到您指定的特定貼文。
facebookCommentAutomation.privateReply,Private reply (inbox),私訊回覆（收件匣）
facebookCommentAutomation.privateReplyDescription,"Send a private message to the commenter's inbox. Choose AI Agent, a fixed text template (spintax supported), a chatbot flow, or disable.",將私訊傳送到留言者的收件匣。可選擇 AI Agent、固定文字範本（支援 spintax）、聊天機器人流程，或停用。
facebookCommentAutomation.publicReply,Public reply to comment,公開回覆留言
facebookCommentAutomation.publicReplyDescription,"Post a public reply directly under the comment. Supports up to 10 text templates (spintax supported), AI Agent, a chatbot flow, or no reply.",直接在留言下方發表公開回覆。支援最多 10 個文字範本（支援 spintax）、AI Agent、聊天機器人流程，或不回覆。
facebookCommentAutomation.replyMessage,Reply message,回覆訊息
facebookCommentAutomation.replyMessagePlaceholder,Enter reply message...,輸入回覆訊息...
facebookCommentAutomation.includeKeywordsType,Reply to,回覆對象
facebookCommentAutomation.includeKeywordsTypeDescription,Choose which comments this automation responds to.,選擇此自動化要回應哪些留言。
facebookCommentAutomation.includeKeywords,Keywords to match,要比對的關鍵字
facebookCommentAutomation.excludeKeywords,Exclude comments with these keywords,排除包含這些關鍵字的留言
facebookCommentAutomation.excludeKeywordsDescription,Comments containing any of these keywords will be ignored by both inbox and public reply automation.,若留言包含任一關鍵字，收件匣回覆與公開回覆自動化都會忽略該留言。
facebookCommentAutomation.keywordsPlaceholder,Type and press Enter...,輸入後按 Enter...
facebookCommentAutomation.replyAfter,Reply after,回覆時間
facebookCommentAutomation.replyAfterValue,Value,時間值
facebookCommentAutomation.schedule.title,Set active hours,設定啟用時段
facebookCommentAutomation.schedule.description,"Choose a start and end time. If the end time is earlier than the start time, the schedule runs overnight.",選擇開始與結束時間。若結束時間早於開始時間，排程將跨夜執行。
facebookCommentAutomation.schedule.startTime,Start time,開始時間
facebookCommentAutomation.schedule.endTime,End time,結束時間
facebookCommentAutomation.schedule.alwaysRun,Always run,永遠執行
facebookCommentAutomation.schedule.save,Save,儲存
facebookCommentAutomation.schedule.invalidTimeRange,Start and end time must be different,開始時間與結束時間必須不同
facebookCommentAutomation.schedule.timeRequired,Please select both start and end time,請同時選擇開始時間與結束時間
facebookCommentAutomation.card.targeting,Targeting & Reply,目標與回覆
facebookCommentAutomation.card.filters,Filters & Options,篩選條件與選項
facebookCommentAutomation.card.replyTiming,Reply Timing,回覆時機
facebookCommentAutomation.card.hideComments,Hide Comments,隱藏留言
facebookCommentAutomation.postType.all,All posts,所有貼文
facebookCommentAutomation.postType.published,Published posts,已發佈貼文
facebookCommentAutomation.postType.ads,Ads posts,廣告貼文
facebookCommentAutomation.postType.reels,Reels,Reels
facebookCommentAutomation.postType.specificPosts,Specific posts,指定貼文
facebookCommentAutomation.replyType.text,Text message,文字訊息
facebookCommentAutomation.replyType.flow,Flow,流程
facebookCommentAutomation.replyType.AIAgent,AI Agent,AI Agent
facebookCommentAutomation.replyType.none,No reply,不回覆
facebookCommentAutomation.keywordsType.all,All comments,所有留言
facebookCommentAutomation.keywordsType.equal,Exact match,完全符合
facebookCommentAutomation.keywordsType.contain,Contains,包含
facebookCommentAutomation.replyAfterType.immediately,Immediately,立即
facebookCommentAutomation.replyAfterType.seconds,After X seconds,X 秒後
facebookCommentAutomation.replyAfterType.minutes,After X minutes,X 分鐘後
facebookCommentAutomation.replyAfterType.hours,After X hours,X 小時後
facebookCommentAutomation.replyAfterType.randomWithin3Minutes,Random within 3 minutes,3 分鐘內隨機
facebookCommentAutomation.replyAfterType.randomWithin5Minutes,Random within 5 minutes,5 分鐘內隨機
facebookCommentAutomation.replyAfterType.randomWithin10Minutes,Random within 10 minutes,10 分鐘內隨機
facebookCommentAutomation.replyAfterType.randomWithin20Minutes,Random within 20 minutes,20 分鐘內隨機
facebookCommentAutomation.replyAfterType.randomWithin30Minutes,Random within 30 minutes,30 分鐘內隨機
facebookCommentAutomation.replyAfterType.randomWithin60Minutes,Random within 60 minutes,60 分鐘內隨機
facebookCommentAutomation.options.replyToNewContactsOnly,Only reply to new contacts,僅回覆新聯絡人
facebookCommentAutomation.options.replyToNewContactsOnlyDescription,Only auto-reply to people who have never been a contact in your workspace before.,僅自動回覆過去從未成為此工作區聯絡人的人。
facebookCommentAutomation.options.replyOncePerUserPerPost,Reply only once to each user per post,每則貼文對每位使用者只回覆一次
facebookCommentAutomation.options.replyOncePerUserPerPostDescription,Each user will receive at most one automated reply per post.,每位使用者在每則貼文下最多只會收到一次自動回覆。
facebookCommentAutomation.options.likeUserComment,Like the user comment,對使用者留言按讚
facebookCommentAutomation.options.likeUserCommentDescription,Automatically react with a like to the commenter's comment.,自動對留言者的留言按讚。
facebookCommentAutomation.options.replyToUsersWhoCommentedOnOtherPosts,Reply to users who commented on other posts,回覆曾在其他貼文留言的使用者
facebookCommentAutomation.options.replyToUsersWhoCommentedOnOtherPostsDescription,Continue replying to users who have already commented on your other posts.,若使用者曾在您其他貼文下留言，仍持續對其回覆。
facebookCommentAutomation.options.ignoreCommentReplies,Don't reply to replies to comments,忽略留言底下的回覆
facebookCommentAutomation.options.ignoreCommentRepliesDescription,"Skip automation for comments that are replies to other comments, not top-level comments.",若留言是對其他留言的回覆，而非頂層留言，則跳過自動化處理。
facebookCommentAutomation.options.trackUserTags,Track if a user tags other users,追蹤使用者是否標記其他人
facebookCommentAutomation.options.trackUserTagsDescription,Trigger automation when a user tags or mentions another user in their comment.,當使用者在留言中標記或提及其他使用者時，觸發此自動化。
facebookCommentAutomation.hideComments.all,Hide all comments,隱藏所有留言
facebookCommentAutomation.hideComments.hasPhoneNumber,Contains phone number,包含電話號碼
facebookCommentAutomation.hideComments.hasImage,Contains image,包含圖片
facebookCommentAutomation.hideComments.hasVideo,Contains video,包含影片
facebookCommentAutomation.hideComments.hasLink,Contains link,包含連結
facebookCommentAutomation.hideComments.hasKeywords,Contains keywords,包含關鍵字
facebookCommentAutomation.hideComments.keywords,Keywords,關鍵字
facebookCommentAutomation.hideComments.showCommentsAfter,Show comments after,多久後重新顯示留言
facebookCommentAutomation.showCommentsAfter.none,Never,永不
facebookCommentAutomation.selectPosts,Select Posts,選擇貼文
facebookCommentAutomation.selectPageAll,All pages,所有粉絲專頁
facebookCommentAutomation.chooseSpecificPosts,Choose posts...,選擇貼文...
facebookCommentAutomation.postIdTab,Post ID,貼文 ID
facebookCommentAutomation.postIdPlaceholder,"Enter post IDs, one per line...",輸入貼文 ID，每行一筆...
facebookCommentAutomation.noPostsFound,No posts found,找不到貼文
instagramCommentAutomation.title,Instagram Comment Automation,Instagram 留言自動化
instagramCommentAutomation.description,Automate Instagram comments for your contacts.,自動處理聯絡人在 Instagram 貼文下的留言。
instagramCommentAutomation.create,Create Automation,建立自動化
instagramCommentAutomation.replies,Replies,回覆
instagramCommentAutomation.activated,Automation activated,自動化已啟用
instagramCommentAutomation.deactivated,Automation deactivated,自動化已停用
instagramCommentAutomation.trackCommentsOn,Track comments on,追蹤留言的對象
instagramCommentAutomation.trackCommentsOnDescription,"Apply this automation to all posts on your connected account, or narrow it to specific posts you select.",可套用到已連接帳號上的所有貼文，或縮小範圍到您指定的特定貼文。
instagramCommentAutomation.privateReply,Private reply (inbox),私訊回覆（收件匣）
instagramCommentAutomation.privateReplyDescription,"Send a private message to the commenter's inbox. Choose AI Agent, a fixed text template (spintax supported), a chatbot flow, or disable.",將私訊傳送到留言者的收件匣。可選擇 AI Agent、固定文字範本（支援 spintax）、聊天機器人流程，或停用。
instagramCommentAutomation.publicReply,Public reply to comment,公開回覆留言
instagramCommentAutomation.publicReplyDescription,"Post a public reply directly under the comment. Supports up to 10 text templates (spintax supported), AI Agent, a chatbot flow, or no reply.",直接在留言下方發表公開回覆。支援最多 10 個文字範本（支援 spintax）、AI Agent、聊天機器人流程，或不回覆。
instagramCommentAutomation.replyMessage,Reply message,回覆訊息
instagramCommentAutomation.replyMessagePlaceholder,Enter reply message...,輸入回覆訊息...
instagramCommentAutomation.includeKeywordsType,Reply to,回覆對象
instagramCommentAutomation.includeKeywordsTypeDescription,Choose which comments this automation responds to.,選擇此自動化要回應哪些留言。
instagramCommentAutomation.includeKeywords,Keywords to match,要比對的關鍵字
instagramCommentAutomation.excludeKeywords,Exclude comments with these keywords,排除包含這些關鍵字的留言
instagramCommentAutomation.excludeKeywordsDescription,Comments containing any of these keywords will be ignored by both inbox and public reply automation.,若留言包含任一關鍵字，收件匣回覆與公開回覆自動化都會忽略該留言。
instagramCommentAutomation.keywordsPlaceholder,Type and press Enter...,輸入後按 Enter...
instagramCommentAutomation.replyAfter,Reply after,回覆時間
instagramCommentAutomation.replyAfterValue,Value,時間值
instagramCommentAutomation.schedule.title,Set active hours,設定啟用時段
instagramCommentAutomation.schedule.description,"Choose a start and end time. If the end time is earlier than the start time, the schedule runs overnight.",選擇開始與結束時間。若結束時間早於開始時間，排程將跨夜執行。
instagramCommentAutomation.schedule.startTime,Start time,開始時間
instagramCommentAutomation.schedule.endTime,End time,結束時間
instagramCommentAutomation.schedule.alwaysRun,Always run,永遠執行
instagramCommentAutomation.schedule.save,Save,儲存
instagramCommentAutomation.schedule.invalidTimeRange,Start and end time must be different,開始時間與結束時間必須不同
instagramCommentAutomation.schedule.timeRequired,Please select both start and end time,請同時選擇開始時間與結束時間
instagramCommentAutomation.card.targeting,Targeting & Reply,目標與回覆
instagramCommentAutomation.card.filters,Filters & Options,篩選條件與選項
instagramCommentAutomation.card.replyTiming,Reply Timing,回覆時機
instagramCommentAutomation.card.hideComments,Hide Comments,隱藏留言
instagramCommentAutomation.postType.all,All posts,所有貼文
instagramCommentAutomation.postType.published,Published posts,已發佈貼文
instagramCommentAutomation.postType.reels,Reels,Reels
instagramCommentAutomation.postType.specificPosts,Specific posts,指定貼文
instagramCommentAutomation.replyType.text,Text message,文字訊息
instagramCommentAutomation.replyType.flow,Flow,流程
instagramCommentAutomation.replyType.AIAgent,AI Agent,AI Agent
instagramCommentAutomation.replyType.none,No reply,不回覆
instagramCommentAutomation.keywordsType.all,All comments,所有留言
instagramCommentAutomation.keywordsType.equal,Exact match,完全符合
instagramCommentAutomation.keywordsType.contain,Contains,包含
instagramCommentAutomation.replyAfterType.immediately,Immediately,立即
instagramCommentAutomation.replyAfterType.seconds,After X seconds,X 秒後
instagramCommentAutomation.replyAfterType.minutes,After X minutes,X 分鐘後
instagramCommentAutomation.replyAfterType.hours,After X hours,X 小時後
instagramCommentAutomation.replyAfterType.randomWithin3Minutes,Random within 3 minutes,3 分鐘內隨機
instagramCommentAutomation.replyAfterType.randomWithin5Minutes,Random within 5 minutes,5 分鐘內隨機
instagramCommentAutomation.replyAfterType.randomWithin10Minutes,Random within 10 minutes,10 分鐘內隨機
instagramCommentAutomation.replyAfterType.randomWithin20Minutes,Random within 20 minutes,20 分鐘內隨機
instagramCommentAutomation.replyAfterType.randomWithin30Minutes,Random within 30 minutes,30 分鐘內隨機
instagramCommentAutomation.replyAfterType.randomWithin60Minutes,Random within 60 minutes,60 分鐘內隨機
instagramCommentAutomation.options.replyToNewContactsOnly,Only reply to new contacts,僅回覆新聯絡人
instagramCommentAutomation.options.replyToNewContactsOnlyDescription,Only auto-reply to people who have never been a contact in your workspace before.,僅自動回覆過去從未成為此工作區聯絡人的人。
instagramCommentAutomation.options.replyOncePerUserPerPost,Reply only once to each user per post,每則貼文對每位使用者只回覆一次
instagramCommentAutomation.options.replyOncePerUserPerPostDescription,Each user will receive at most one automated reply per post.,每位使用者在每則貼文下最多只會收到一次自動回覆。
instagramCommentAutomation.options.likeUserComment,Like the user comment,對使用者留言按讚
instagramCommentAutomation.options.likeUserCommentDescription,Automatically react with a like to the commenter's comment.,自動對留言者的留言按讚。
instagramCommentAutomation.options.replyToUsersWhoCommentedOnOtherPosts,Reply to users who commented on other posts,回覆曾在其他貼文留言的使用者
instagramCommentAutomation.options.replyToUsersWhoCommentedOnOtherPostsDescription,Continue replying to users who have already commented on your other posts.,若使用者曾在您其他貼文下留言，仍持續對其回覆。
instagramCommentAutomation.options.ignoreCommentReplies,Don't reply to replies to comments,忽略留言底下的回覆
instagramCommentAutomation.options.ignoreCommentRepliesDescription,"Skip automation for comments that are replies to other comments, not top-level comments.",若留言是對其他留言的回覆，而非頂層留言，則跳過自動化處理。
instagramCommentAutomation.hideComments.all,Hide all comments,隱藏所有留言
instagramCommentAutomation.hideComments.hasPhoneNumber,Contains phone number,包含電話號碼
instagramCommentAutomation.hideComments.hasLink,Contains link,包含連結
instagramCommentAutomation.hideComments.hasKeywords,Contains keywords,包含關鍵字
instagramCommentAutomation.hideComments.keywords,Keywords,關鍵字
instagramCommentAutomation.hideComments.showCommentsAfter,Show comments after,多久後重新顯示留言
instagramCommentAutomation.showCommentsAfter.none,Never,永不
instagramCommentAutomation.selectPosts,Select Posts,選擇貼文
instagramCommentAutomation.selectPageAll,All accounts,所有帳號
instagramCommentAutomation.chooseSpecificPosts,Choose posts...,選擇貼文...
instagramCommentAutomation.postIdTab,Post ID,貼文 ID
instagramCommentAutomation.postIdPlaceholder,"Enter post IDs, one per line...",輸入貼文 ID，每行一筆...
instagramCommentAutomation.noPostsFound,No posts found,找不到貼文
instagramCommentAutomation.connectionType.title,Choose Instagram connection type,選擇 Instagram 連接類型
instagramCommentAutomation.connectionType.instagramTitle,Instagram Business,Instagram 商業帳號
instagramCommentAutomation.connectionType.instagramDescription,"Instagram Login connection. Supports public reply, private reply, and hiding comments. Liking comments is not supported.",使用 Instagram Login 連接。支援公開回覆、私訊回覆與隱藏留言，不支援對留言按讚。
instagramCommentAutomation.connectionType.instagramFacebookTitle,Instagram Login with Facebook,使用 Facebook 登入的 Instagram
instagramCommentAutomation.connectionType.instagramFacebookDescription,"Instagram connected via a Facebook Page. Supports public reply, private reply, hiding comments, and liking comments.",透過 Facebook 粉絲專頁連接的 Instagram。支援公開回覆、私訊回覆、隱藏留言與對留言按讚。
instagramStoryAutomation.title,Instagram Story Reply Automation,Instagram 限時動態回覆自動化
instagramStoryAutomation.description,Automate replies to Instagram story replies for your contacts.,自動回覆聯絡人對 Instagram 限時動態的回覆。
instagramStoryAutomation.create,Create Automation,建立自動化
instagramStoryAutomation.replies,Replies,回覆
instagramStoryAutomation.activated,Automation activated,自動化已啟用
instagramStoryAutomation.deactivated,Automation deactivated,自動化已停用
instagramStoryAutomation.trackStoryReplyOn,Track Story reply on,追蹤限時動態回覆的對象
instagramStoryAutomation.trackStoryReplyOnDescription,"Apply this automation to replies on any of your Stories, or narrow it to specific Stories you select.",可套用到您所有限時動態的回覆，或縮小範圍到您指定的特定限時動態。
instagramStoryAutomation.reply,Reply,回覆
instagramStoryAutomation.replyDescription,"Send a reply to the story replier's inbox. Choose AI Agent, a fixed text template (spintax supported), a chatbot flow, or disable.",將回覆傳送到限時動態回覆者的收件匣。可選擇 AI Agent、固定文字範本（支援 spintax）、聊天機器人流程，或停用。
instagramStoryAutomation.replyMessage,Reply message,回覆訊息
instagramStoryAutomation.replyMessagePlaceholder,Enter reply message...,輸入回覆訊息...
instagramStoryAutomation.includeKeywordsType,Reply to,回覆對象
instagramStoryAutomation.includeKeywordsTypeDescription,Choose which story replies this automation responds to.,選擇此自動化要回應哪些限時動態回覆。
instagramStoryAutomation.includeKeywords,Keywords to match,要比對的關鍵字
instagramStoryAutomation.keywordsPlaceholder,Type and press Enter...,輸入後按 Enter...
instagramStoryAutomation.schedule.title,Set active hours,設定啟用時段
instagramStoryAutomation.schedule.description,"Choose a start and end time. If the end time is earlier than the start time, the schedule runs overnight.",選擇開始與結束時間。若結束時間早於開始時間，排程將跨夜執行。
instagramStoryAutomation.schedule.startTime,Start time,開始時間
instagramStoryAutomation.schedule.endTime,End time,結束時間
instagramStoryAutomation.schedule.alwaysRun,Always run,永遠執行
instagramStoryAutomation.schedule.save,Save,儲存
instagramStoryAutomation.schedule.invalidTimeRange,Start and end time must be different,開始時間與結束時間必須不同
instagramStoryAutomation.schedule.timeRequired,Please select both start and end time,請同時選擇開始時間與結束時間
instagramStoryAutomation.card.targeting,Targeting & Reply,目標與回覆
instagramStoryAutomation.storyType.all,All stories,所有限時動態
instagramStoryAutomation.storyType.specificStories,Specific stories,指定限時動態
instagramStoryAutomation.replyType.text,Text message,文字訊息
instagramStoryAutomation.replyType.flow,Flow,流程
instagramStoryAutomation.replyType.AIAgent,AI Agent,AI Agent
instagramStoryAutomation.replyType.none,No reply,不回覆
instagramStoryAutomation.keywordsType.all,All replies,所有回覆
instagramStoryAutomation.keywordsType.equal,Exact match,完全符合
instagramStoryAutomation.keywordsType.contain,Contains,包含
instagramStoryAutomation.selectStories,Select Stories,選擇限時動態
instagramStoryAutomation.selectPageAll,All accounts,所有帳號
instagramStoryAutomation.chooseSpecificStories,Choose stories...,選擇限時動態...
instagramStoryAutomation.activeStoriesTab,Active stories,目前限時動態
instagramStoryAutomation.storyIdTab,Story ID,限時動態 ID
instagramStoryAutomation.storyIdPlaceholder,"Enter story IDs, one per line...",輸入限時動態 ID，每行一筆...
instagramStoryAutomation.noStoriesFound,No active stories found,找不到目前的限時動態
instagramStoryAutomation.connectionType.title,Choose Instagram connection type,選擇 Instagram 連接類型
instagramStoryAutomation.connectionType.instagramTitle,Instagram Business,Instagram 商業帳號
instagramStoryAutomation.connectionType.instagramDescription,"Instagram Login connection. Supports reply via text, flow, or AI agent.",使用 Instagram Login 連接。支援透過文字訊息、流程或 AI Agent 回覆。
instagramStoryAutomation.connectionType.instagramFacebookTitle,Instagram Login with Facebook,使用 Facebook 登入的 Instagram
instagramStoryAutomation.connectionType.instagramFacebookDescription,"Instagram connected via a Facebook Page. Supports reply via text, flow, or AI agent.",透過 Facebook 粉絲專頁連接的 Instagram。支援透過文字訊息、流程或 AI Agent 回覆。
facebookLeadAdsAutomation.title,Facebook Lead Ads Automation,Facebook 引導廣告自動化
facebookLeadAdsAutomation.description,Automate Facebook lead ads for your contacts.,自動為您的聯絡人投放 Facebook 潛在客戶廣告。
facebookLeadAdsAutomation.create,Create New,建立新
facebookLeadAdsAutomation.leads,Leads,線索
facebookLeadAdsAutomation.facebookPage,Facebook Page,Facebook 頁
facebookLeadAdsAutomation.leadForm,Lead Form,潛在客戶表格
facebookLeadAdsAutomation.allForms,All forms,所有表格
facebookLeadAdsAutomation.allFormsNote,"Leads from every form on this page will be captured. Standard fields (email, phone, name, gender) are saved to matching contact fields automatically.",此頁面上每個表單的潛在客戶都將被捕獲。標準欄位（電子郵件、電話、姓名、性別）會自動儲存到符合的聯絡人欄位。
facebookLeadAdsAutomation.leadData,Lead Data,潛在客戶資料
facebookLeadAdsAutomation.whatFlow,What flow is triggered,觸發什麼流程
facebookLeadAdsAutomation.none,None,無
facebookLeadAdsAutomation.addNewPage,Add New,新增新
facebookLeadAdsAutomation.noEligiblePages,"No eligible pages. Use ""Add New"" to grant lead access.",沒有符合條件的頁面。使用「新增新建」授予潛在客戶存取權限。
facebookLeadAdsAutomation.duplicateError,An automation already exists for this page and form.,此頁面和表單已存在自動化。
facebookLeadAdsAutomation.subscribeError,"Could not subscribe this page to Facebook lead notifications, so the automation was not created. Reconnect the page with ""Add New"" and try again.",無法將此頁面訂閱至 Facebook 潛在客戶通知，因此未建立自動化。使用「新增 New」重新連接頁面並重試。
ecommerce.title,Ecommerce,電子商務
ecommerce.description,Create and manage your ecommerce store.,建立並管理您的電子商務商店。
appointmentScheduling.title,Appointment Scheduling,預約安排
appointmentScheduling.description,Create and manage your appointment scheduling.,建立並管理您的預約安排。
templates.title,Templates,範本
templates.description,Create and manage your templates.,建立並管理您的範本。
qrCodeGenerator.title,QR Code Generator,QR Code 產生器
qrCodeGenerator.description,Create and manage your QR codes.,建立並管理您的 QR Code。
platformAdmin.platformCredentials.title,Platform Credentials,平台憑證
platformAdmin.platformCredentials.description,Global default developer apps used by all workspaces that don't have their own white-label credentials.,沒有自己的白標籤憑證的所有工作區所使用的全域預設開發人員應用程式。
platformAdmin.helpItems.title,Help Links,幫助連結
platformAdmin.helpItems.description,Help links shown in the sidebar for all workspaces that don't belong to a white-label tenant.,側邊欄中顯示的說明連結適用於所有不屬於白標籤租使用者的工作區。
platformAdmin.queues.title,Queues,佇列
platformCredentials.title,Platform Credentials,平台憑證
platformCredentials.usingPlatformDefault,Using platform default,使用平台預設值
platformCredentials.usingPlatformDefaultHint,This channel works out of the box with the platform's shared app. Add your own settings anytime to override it.,此頻道可使用平台的共用應用程式。您隨時可以新增自己的設定來覆蓋它。
platformCredentials.notConfigured,Not set up yet,尚未設定
platformCredentials.notConfiguredHint,Add your settings to start using this integration.,新增您的設定以開始使用此整合。
platformBranding.title,Platform Branding,平台品牌
platformBranding.sections.identity.title,Brand Identity,品牌標識
platformBranding.sections.identity.description,Name and color theme shown across the platform,整個平台顯示的名稱和顏色主題
platformBranding.sections.assets.title,Visual Assets,視覺資產
platformBranding.sections.assets.description,Logos and favicon displayed in the browser and UI,瀏覽器和 UI 中顯示的徽標和圖標
platformBranding.sections.legal.title,Legal Links,法律連結
platformBranding.sections.legal.description,Links shown in footers and consent flows,頁腳和同意流程中顯示的連結
platformBranding.sections.advanced.title,Advanced,高級
platformBranding.sections.advanced.description,Inject custom CSS or JavaScript into every page,將自訂 CSS 或 JavaScript 注入每個頁面
platformChannels.title,Allowed Channels,允許頻道
platformChannels.description,Choose which channel types workspaces in this tenant can create.,選擇此租使用者中的工作區可以建立哪些頻道類型。
platformChannels.hint,Leave every channel unchecked to allow all channels.,取消選取每個頻道以允許所有頻道。
platformEmailTemplates.title,Email Templates,電子郵件範本
platformEmailTemplates.description,Leave subject and body blank to use the system default template.,將主旨與內文留空即可使用系統預設範本。
platformEmailTemplates.sections.signup.title,Signup Verification Email,註冊驗證電子郵件
platformEmailTemplates.sections.signup.description,Sent when a new user registers an account,新使用者註冊帳戶時傳送
platformEmailTemplates.sections.forgotPassword.title,Forgot Password Email,忘記密碼電子郵件
platformEmailTemplates.sections.forgotPassword.description,Sent when a user requests a password reset,當使用者要求重設密碼時傳送
platformEmailTemplates.sections.magicLink.title,Magic Link Sign-in Email,Magic Link 登入電子郵件
platformEmailTemplates.sections.magicLink.description,Sent when a user requests a magic link to sign in,當使用者要求魔術連結登入時傳送
platformEmailTemplates.sections.accountCredentials.title,Sub-account Credentials Email,子帳戶憑證電子郵件
platformEmailTemplates.sections.accountCredentials.description,Sent when a reseller provisions a new sub-account,當經銷商設定新的子帳戶時傳送
platformEmailTemplates.fields.subject.label,Subject,主題
platformEmailTemplates.fields.subject.placeholder,Leave blank to use the default subject,留空以使用預設主題
platformEmailTemplates.fields.body.label,HTML Body,HTML 正文
platformEmailTemplates.fields.body.placeholder,Leave blank to use the default template,留空以使用預設範本
platformEmailTemplates.status.custom,Custom,自訂
platformEmailTemplates.status.default,Default,預設
platformEmailTemplates.availableVariables,Available variables,可用變數
platformEmailTemplates.preview.title,Preview,預覽
platformEmailTemplates.preview.empty,Enter template body to see a preview,輸入範本內容以檢視預覽
manageSidebar.platformGroup,Platform,平台
manageSidebar.toolsGroup,Tools,工具
manageSidebar.saasGroup,SaaS,SaaS
manageSidebar.portalUsers,Sub-accounts,子帳戶
manageSidebar.portalWorkspaces,Workspaces,工作區
manageSidebar.portalPlans,Plans,方案
manageSidebar.portalTopUpPacks,Top-up packs,儲值包
manageSidebar.portalUsage,Usage,用法
manageSidebar.portalCustomDomain,Custom Domain,自訂網域
manageSidebar.portalPaymentProcessor,Payment Processor,支付處理器
manageSidebar.portalSmtp,SMTP Settings,SMTP設定
manageSidebar.portalPricingPage,Pricing,定價
unsubscribePage.title,You have been unsubscribed.,您已取消訂閱。
unsubscribePage.description,You will no longer receive emails from this sender.,您將不會再收到來自該寄件者的電子郵件。
unsubscribePage.invalidTitle,Invalid unsubscribe link.,取消訂閱連結無效。
unsubscribePage.invalidDescription,This link is invalid or has expired.,此連結無效或已過期。
unsubscribePage.unavailableTitle,Unsubscribe unavailable.,無法取消訂閱。
unsubscribePage.unavailableDescription,This workspace is no longer available.,此工作區不再可用。
extensionsMe.actions.delete,Delete My Data,刪除我的資料
extensionsMe.actions.download,Download My Data,下載我的資料
extensionsMe.deleteDialog.title,Delete your data?,刪除你的資料？
extensionsMe.deleteDialog.description,"This permanently deletes your profile contact details, tags, custom fields, attachments, and all messages for this contact record.",這將永久刪除您的個人資料聯絡人詳細資料、標籤、自訂欄位、附件以及該聯絡人記錄的所有訊息。
extensionsMe.empty.customFields,No custom fields,無自訂欄位
extensionsMe.empty.tags,No tags,無標籤
extensionsMe.fields.email,Email,電子郵件
extensionsMe.fields.gender,Gender,性別
extensionsMe.fields.locale,Locale,地區設定
extensionsMe.fields.phone,Phone,電話
extensionsMe.fields.timezone,Time,時間
extensionsMe.sections.customFields,Custom Fields,自訂欄位
extensionsMe.sections.tags,User Tags,使用者標籤
extensionsMe.unknown,Unknown,未知
orders.title,Orders,訂單
products.title,Products,產品
products.create.title,Create Product,建立產品
products.edit.title,Edit Product,編輯產品
products.sections.pricing,Pricing,定價
products.sections.images,Images,圖片
products.sections.inventory,Inventory,庫存
products.sections.variants,Variants,變體
products.sections.addons,Add-ons,新增-on
products.sections.tags,Tags,標籤
products.sections.moreOptions,More Options,更多選項
products.fields.shortDescription.label,Short Description,簡短說明
products.fields.longDescription.label,Long Description,詳細說明
products.fields.price.label,Price,價格
products.fields.taxes.label,Taxes (0-100%),稅費（0-100%）
products.fields.discount.label,Discount (0-100%),折扣（0-100%）
products.fields.currency.label,Currency,貨幣
products.fields.productUrl.label,Product URL,產品URL
products.fields.productUrl.placeholder,https://store.example.com/products/123,https://store.example.com/products/123
products.fields.productUrl.description,The page customers open from Messenger Shopping. Products without a URL are skipped when syncing to Meta Catalog.,顧客從Messenger 購物開啟的頁面。同步到 Meta 目錄時，會跳過沒有 URL 的產品。
products.fields.sku.label,SKU,SKU
products.fields.sku.placeholder,Optional,可選
products.fields.inventoryPolicy.label,Inventory policy,庫存政策
products.fields.inventoryQuantity.label,Quantity,數量
products.fields.allowOutOfStockPurchase.label,Allow customers to purchase this product when it's out of stock,允許顧客在缺貨時購買該產品
products.fields.vendor.label,Vendor,供應商
products.fields.rank.label,Rank,排名
products.fields.category.label,Category,分類
products.fields.category.placeholder,Uncategorized,未分類
products.fields.subcategory.label,Subcategory,子類別
products.fields.subcategory.placeholder,None,無
products.fields.isSearchable.label,This product is searchable inside the bot,該產品可在機器人內搜尋
